"name"	"taxRank"	"taxID"	"Max"	"CTX02_d0_M_report.txt.cladeReads.."	"CTX02_dC_M_report.txt.cladeReads.."	"CTX02_dT_M_report.txt.cladeReads.."	"CTX03_d0_M_report.txt.cladeReads.."	"CTX03_dC_M_report.txt.cladeReads.."	"CTX03_dT_M_report.txt.cladeReads.."	"CTX04_d0_M_report.txt.cladeReads.."	"CTX04_dC_M_report.txt.cladeReads.."	"CTX04_dT_M_report.txt.cladeReads.."	"CTX05_d0_M_report.txt.cladeReads.."	"CTX05_dC_M_report.txt.cladeReads.."	"CTX05_dT_M_report.txt.cladeReads.."	"CTX06_d0_M_report.txt.cladeReads.."	"CTX06_dC_M_report.txt.cladeReads.."	"CTX06_dT_M_report.txt.cladeReads.."	"lineage"
"Lactobacillus sp. ESL0260"	"S"	2069347	2.018	0.6625	0.5755	0.8339	0.8924	0.4114	0.8785	1.587	1.461	0.9379	1.063	2.018	1.082	0.8751	1.473	1.086	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. ESL0259"	"S"	2069346	1.777	0.5411	0.5206	0.7401	0.7683	0.3557	0.7596	1.393	1.284	0.8117	0.9633	1.777	1.014	0.7812	1.289	0.9888	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. ESL0261"	"S"	2069348	0.897	0.4716	0.4345	0.5802	0.6688	0.3457	0.4596	0.897	0.5704	0.3527	0.4631	0.6654	0.4749	0.4065	0.6815	0.5958	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. ESL0228"	"S"	2069352	0.237	0.06017	0.05508	0.09322	0.07024	0.04348	0.08517	0.1051	0.06673	0.1093	0.1404	0.06842	0.1607	0.07899	0.06599	0.237	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. ESL0230"	"S"	2069353	0.04846	0.01223	0.01419	0.02079	0.01425	0.01162	0.02141	0.02008	0.01561	0.01773	0.03364	0.01603	0.02593	0.01831	0.01429	0.04846	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus apis"	"S"	303541	15.06	3.059	5.472	3.963	3.681	4.266	6.848	8.091	5.102	8.582	7.97	2.96	15.06	6.97	2.67	5.056	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus mellifer"	"S"	1218492	2.724	2.345	1.661	2.724	1.558	1.73	1.536	2.036	2.553	1.482	1.092	1.869	2.288	0.6577	1.548	1.791	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus helsingborgensis"	"S"	1218494	5.677	2.133	1.078	5.677	2.647	1.15	1.814	4.921	2.457	2.273	0.8616	1.969	1.82	0.6333	0.9695	0.8351	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus kimbladii"	"S"	1218506	4.297	1.932	1.963	1.55	2.56	1.761	1.896	4.297	1.344	1.36	1.697	2.357	1.77	1.765	3.343	2.425	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus melliventris"	"S"	1218507	5.894	1.668	1.803	2.691	2.63	1.23	2.536	4.884	4.404	2.965	3.266	5.894	3.354	2.728	4.408	3.354	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
